relation_raw,category_50,category_simple
has a carrier frequency of,Genetics_InheritanceCarrier,Di truyền
has a causative mutation in,Genetics_Mutation,Đột biến
has a chance of inheriting,Genetics_InheritanceCarrier,Di truyền
has a characteristic,Etiology_AssociatedWith,Liên quan
has a chemical name of,Etiology_AssociatedWith,Liên quan
has a clinical indication for,Treatment_IndicationUse,Điều trị / chỉ định
has a clogp value of,Etiology_AssociatedWith,Liên quan
has a declining preference for,Etiology_AssociatedWith,Liên quan
has a depressant action on,Etiology_AssociatedWith,Liên quan
has a diagnostic hallmark of,Etiology_AssociatedWith,Liên quan
has a different structure than,Etiology_AssociatedWith,Liên quan
has a distinct geographic distribution in,Epidemiology_Geography,Theo khu vực
has a distribution half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a duration of action that is,Temporal_DurationResolution,Thời gian / hồi phục
has a familial tendency,Etiology_AssociatedWith,Liên quan
has a genetic etiology,Etiology_AssociatedWith,Liên quan
has a half life in alcoholic liver disease patients of,PK_DistributionProteinBinding,Phân bố & gắn
has a half life in moderate renal impairment of,PK_ExcretionClearance,Thải trừ
has a half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a half life of approximately,PK_DistributionProteinBinding,Phân bố & gắn
has a half life of elimination of,PK_ExcretionClearance,Thải trừ
has a half life ranging from,PK_DistributionProteinBinding,Phân bố & gắn
has a hallmark feature of,Clinical_SymptomSign,Triệu chứng
has a high affinity for,MoA_BindingAffinity,Gắn kết
has a high degree of,Etiology_AssociatedWith,Liên quan
has a high incidence in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a high level of,Etiology_AssociatedWith,Liên quan
has a high penetrance with nearly half experiencing,Genetics_InheritanceCarrier,Di truyền
has a high potential for,Etiology_AssociatedWith,Liên quan
has a high risk of,Etiology_AssociatedWith,Liên quan
has a high risk of developing,Etiology_AssociatedWith,Liên quan
has a high selectivity for,Etiology_AssociatedWith,Liên quan
has a higher incidence among,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a higher incidence in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a higher prevalence among,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a higher prevalence in,Epidemiology_Demographics,Hay gặp ở nhóm
has a higher prevalence rate in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a history of approval since,Etiology_AssociatedWith,Liên quan
has a history of use in,Etiology_AssociatedWith,Liên quan
has a known association with,Etiology_AssociatedWith,Liên quan
has a log p value of,Etiology_AssociatedWith,Liên quan
has a logp value of,Etiology_AssociatedWith,Liên quan
has a long duration of,Temporal_DurationResolution,Thời gian / hồi phục
has a long duration of action,Temporal_DurationResolution,Thời gian / hồi phục
has a long half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a long history of use dating back to,Etiology_AssociatedWith,Liên quan
has a long terminal elimination half life,PK_ExcretionClearance,Thải trừ
has a longer duration of action than,Temporal_DurationResolution,Thời gian / hồi phục
has a longer half life in,PK_DistributionProteinBinding,Phân bố & gắn
has a longer half life than,PK_DistributionProteinBinding,Phân bố & gắn
has a low potential for inducing,Etiology_AssociatedWith,Liên quan
has a low protein binding rate of,MoA_BindingAffinity,Gắn kết
has a maximal effect after,Etiology_AssociatedWith,Liên quan
has a mean age of,Etiology_AssociatedWith,Liên quan
has a mean age of onset at,Temporal_OnsetAge,Tuổi khởi phát
has a mean duration of illness of,Temporal_DurationResolution,Thời gian / hồi phục
has a mean plasma half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a mean terminal half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a mechanism of action different from,Etiology_AssociatedWith,Liên quan
has a mechanism of action involving,Etiology_AssociatedWith,Liên quan
has a mechanism of action that,Etiology_AssociatedWith,Liên quan
has a median age of onset,Temporal_OnsetAge,Tuổi khởi phát
has a median half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a median plasma half disappearance time of,Etiology_AssociatedWith,Liên quan
has a moderate duration of,Temporal_DurationResolution,Thời gian / hồi phục
has a molecular formula of,Etiology_AssociatedWith,Liên quan
has a molecular weight of,Etiology_AssociatedWith,Liên quan
has a narrow therapeutic index,Etiology_AssociatedWith,Liên quan
has a neutral effect on,Etiology_AssociatedWith,Liên quan
has a peak spectral absorption at,Diagnosis_ImagingFinding,Hình ảnh
has a physical state of,Etiology_AssociatedWith,Liên quan
has a plasma elimination half life of,PK_ExcretionClearance,Thải trừ
has a plasma half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a positive impact on,Etiology_AssociatedWith,Liên quan
has a possible,Etiology_AssociatedWith,Liên quan
has a predilection against,Etiology_AssociatedWith,Liên quan
has a predilection for,Etiology_AssociatedWith,Liên quan
has a predisposition to,Etiology_AssociatedWith,Liên quan
has a predominance of,Etiology_AssociatedWith,Liên quan
has a preference for,Etiology_AssociatedWith,Liên quan
has a prenatal form presenting before,Etiology_AssociatedWith,Liên quan
has a prevalence of,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a prevalence that is,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a prognosis of,Etiology_AssociatedWith,Liên quan
has a prognosis that is,Etiology_AssociatedWith,Liên quan
has a protein binding of,MoA_BindingAffinity,Gắn kết
has a protein binding percentage of,Diagnosis_LabFinding,Xét nghiệm
has a protein binding rate of,MoA_BindingAffinity,Gắn kết
has a range of,Etiology_AssociatedWith,Liên quan
has a rapid onset of action typically within,Anatomy_SpatialRelation,Vị trí tương đối
has a rare form,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a reduced propensity for,Etiology_AssociatedWith,Liên quan
has a reduced side effect profile when taken,Safety_AdverseEffect,Tác dụng phụ
has a reference link,Etiology_AssociatedWith,Liên quan
has a reported half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a reported prevalence of,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a risk of,Etiology_AssociatedWith,Liên quan
has a role in,Etiology_AssociatedWith,Liên quan
has a safety profile of,Etiology_AssociatedWith,Liên quan
has a safety profile similar to,Etiology_AssociatedWith,Liên quan
has a sedative effect in,Etiology_AssociatedWith,Liên quan
has a serum half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a short,Etiology_AssociatedWith,Liên quan
has a short half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a short term effect of,Etiology_AssociatedWith,Liên quan
has a shorter half life compared to,PK_DistributionProteinBinding,Phân bố & gắn
has a similar duration effect to,Temporal_DurationResolution,Thời gian / hồi phục
has a similar structure to,Etiology_AssociatedWith,Liên quan
has a slight predilection for,Etiology_AssociatedWith,Liên quan
has a slight predominance in,Etiology_AssociatedWith,Liên quan
has a slight predominance of,Etiology_AssociatedWith,Liên quan
has a slightly higher prevalence among,Epidemiology_PrevalenceIncidence,Tần suất mắc
has a slow onset of,Temporal_OnsetAge,Tuổi khởi phát
has a slower dissolution rate than,Etiology_AssociatedWith,Liên quan
has a solid,Etiology_AssociatedWith,Liên quan
has a specificity for,Etiology_AssociatedWith,Liên quan
has a spectrum ranging from,Etiology_AssociatedWith,Liên quan
has a stretched penile length of,Etiology_AssociatedWith,Liên quan
has a suspected higher risk of,Etiology_RiskFactor,Yếu tố nguy cơ
has a temporary rise in,Etiology_AssociatedWith,Liên quan
has a terminal elimination half life of,PK_ExcretionClearance,Thải trừ
has a terminal half life of,PK_DistributionProteinBinding,Phân bố & gắn
has a therapeutic index of,Etiology_AssociatedWith,Liên quan
has a therapeutic index that is,Etiology_AssociatedWith,Liên quan
has a topological polar surface area of,Etiology_AssociatedWith,Liên quan
has a tpsa of,Etiology_AssociatedWith,Liên quan
has a unique,Etiology_AssociatedWith,Liên quan
has a unique mechanism of action in,Etiology_AssociatedWith,Liên quan
has a variable,Etiology_AssociatedWith,Liên quan
has a variety of,Etiology_AssociatedWith,Liên quan
has a volume of distribution of,PK_DistributionProteinBinding,Phân bố & gắn
has a weak inhibition rate of,Etiology_AssociatedWith,Liên quan
has a weak propensity for causing,Etiology_AssociatedWith,Liên quan
has a well established,Etiology_AssociatedWith,Liên quan
has a wide functional profile including,Etiology_AssociatedWith,Liên quan
has a wide spectrum of,Etiology_AssociatedWith,Liên quan
has a wide therapeutic window,Etiology_AssociatedWith,Liên quan
has absence of,Etiology_AssociatedWith,Liên quan
has action against,Etiology_AssociatedWith,Liên quan
has actions,Etiology_AssociatedWith,Liên quan
has actions similar to,Etiology_AssociatedWith,Liên quan
has activities,Etiology_AssociatedWith,Liên quan
has activity against,Etiology_AssociatedWith,Liên quan
has activity as,Etiology_AssociatedWith,Liên quan
has activity in,Etiology_AssociatedWith,Liên quan
has additional features such as,Etiology_AssociatedWith,Liên quan
has advantages over,Etiology_AssociatedWith,Liên quan
has adverse effects including,Safety_AdverseEffect,Tác dụng phụ
has adverse effects related to,Safety_AdverseEffect,Tác dụng phụ
has adverse effects such as,Safety_AdverseEffect,Tác dụng phụ
has affected families from,Etiology_AssociatedWith,Liên quan
has affinity for,MoA_BindingAffinity,Gắn kết
has an,Etiology_AssociatedWith,Liên quan
has an active metabolite with a half life of,PK_DistributionProteinBinding,Phân bố & gắn
has an affinity for,MoA_BindingAffinity,Gắn kết
has an age of onset in,Temporal_OnsetAge,Tuổi khởi phát
has an age of onset ranging from,Temporal_OnsetAge,Tuổi khởi phát
has an antitumor effect against,Etiology_AssociatedWith,Liên quan
has an apparent half life of,PK_DistributionProteinBinding,Phân bố & gắn
has an apparent terminal half life of,PK_DistributionProteinBinding,Phân bố & gắn
has an approval status of,Regulatory_Status,Trạng thái phê duyệt
has an approval status that is,Regulatory_Status,Trạng thái phê duyệt
has an approximate half life of,PK_DistributionProteinBinding,Phân bố & gắn
has an effect by blocking,Etiology_AssociatedWith,Liên quan
has an effect on,Etiology_AssociatedWith,Liên quan
has an elimination half life of,PK_ExcretionClearance,Thải trừ
has an estimated protein binding of,MoA_BindingAffinity,Gắn kết
has an incidence of,Epidemiology_PrevalenceIncidence,Tần suất mắc
has an incidence rate of,Epidemiology_PrevalenceIncidence,Tần suất mắc
has an increased risk of developing,Etiology_AssociatedWith,Liên quan
has an infantile form marked by,Clinical_SymptomSign,Triệu chứng
has an inhibitory constant of,Etiology_AssociatedWith,Liên quan
has an onset of action of,Temporal_OnsetAge,Tuổi khởi phát
has androgenic potency of,Etiology_AssociatedWith,Liên quan
has anti inflammatory,Etiology_AssociatedWith,Liên quan
has anti inflammatory and analgesic,Etiology_AssociatedWith,Liên quan
has anti inflammatory properties,Etiology_AssociatedWith,Liên quan
has anti inflammatory properties for,Etiology_AssociatedWith,Liên quan
has antiaggressive properties,Etiology_AssociatedWith,Liên quan
has antiandrogen effects,Etiology_AssociatedWith,Liên quan
has antibacterial activity against,Etiology_AssociatedWith,Liên quan
has anticancer properties against,Etiology_AssociatedWith,Liên quan
has anticarcinogenic activity correlated with,Etiology_AssociatedWith,Liên quan
has antimicrobial activity against,Etiology_AssociatedWith,Liên quan
has antimicrobial properties against,Etiology_AssociatedWith,Liên quan
has antimitotic and cytotoxic activity through,Etiology_AssociatedWith,Liên quan
has antioxidant activity,Etiology_AssociatedWith,Liên quan
has antioxidant properties,Etiology_AssociatedWith,Liên quan
has antioxidant properties against,Etiology_AssociatedWith,Liên quan
has anxiolytic effects,Etiology_AssociatedWith,Liên quan
has appearance of,Etiology_AssociatedWith,Liên quan
has applications in,Etiology_AssociatedWith,Liên quan
has approval status,Regulatory_Status,Trạng thái phê duyệt
has approval status of,Regulatory_Status,Trạng thái phê duyệt
has associated findings,Etiology_AssociatedWith,Liên quan
has atomic weight,Etiology_AssociatedWith,Liên quan
has auricle size variation ranging from,Etiology_AssociatedWith,Liên quan
has average onset at,Temporal_OnsetAge,Tuổi khởi phát
has average recorded prevalence in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has been,Etiology_AssociatedWith,Liên quan
has been approved by,Regulatory_Status,Trạng thái phê duyệt
has been approved for,Regulatory_Status,Trạng thái phê duyệt
has been approved for medical use since,Regulatory_Status,Trạng thái phê duyệt
has been approved for use in,Regulatory_Status,Trạng thái phê duyệt
has been approved for use in conjunction with,Regulatory_Status,Trạng thái phê duyệt
has been approved for use in the treatment of,Regulatory_Status,Trạng thái phê duyệt
has been approved for use since,Regulatory_Status,Trạng thái phê duyệt
has been approved in,Regulatory_Status,Trạng thái phê duyệt
has been approved since,Regulatory_Status,Trạng thái phê duyệt
has been associated with,Etiology_AssociatedWith,Liên quan
has been attempted in,Etiology_AssociatedWith,Liên quan
has been available in,Etiology_AssociatedWith,Liên quan
has been available since,Etiology_AssociatedWith,Liên quan
has been beneficial for,Etiology_AssociatedWith,Liên quan
has been ceased due to,Etiology_CausedBy,Do nguyên nhân
has been characterized through,Etiology_AssociatedWith,Liên quan
has been classified under,Etiology_AssociatedWith,Liên quan
has been commercially available since,Etiology_AssociatedWith,Liên quan
has been described in,Etiology_AssociatedWith,Liên quan
has been described in families from,Etiology_AssociatedWith,Liên quan
has been described since,Etiology_AssociatedWith,Liên quan
has been discontinued from,Etiology_AssociatedWith,Liên quan
has been documented in,Etiology_AssociatedWith,Liên quan
has been documented since,Etiology_AssociatedWith,Liên quan
has been employed to,Etiology_AssociatedWith,Liên quan
has been identified in,Etiology_AssociatedWith,Liên quan
has been implicated in,Etiology_AssociatedWith,Liên quan
has been investigated as,Etiology_AssociatedWith,Liên quan
has been investigated as a,Etiology_AssociatedWith,Liên quan
has been investigated for,Etiology_AssociatedWith,Liên quan
has been investigated in,Etiology_AssociatedWith,Liên quan
has been linked to,Etiology_AssociatedWith,Liên quan
has been listed as,Etiology_AssociatedWith,Liên quan
has been observed in,Etiology_AssociatedWith,Liên quan
has been replaced by,Etiology_AssociatedWith,Liên quan
has been reported,Etiology_AssociatedWith,Liên quan
has been reported across,Etiology_AssociatedWith,Liên quan
has been reported among,Epidemiology_PrevalenceIncidence,Tần suất mắc
has been reported in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has been reported only in,Etiology_AssociatedWith,Liên quan
has been reported primarily in,Epidemiology_Geography,Theo khu vực
has been shown to be,Etiology_AssociatedWith,Liên quan
has been shown to improve,Etiology_AssociatedWith,Liên quan
has been shown to slow,Etiology_AssociatedWith,Liên quan
has been studied as,Etiology_AssociatedWith,Liên quan
has been used clinically with,Etiology_AssociatedWith,Liên quan
has been used for,Treatment_IndicationUse,Điều trị / chỉ định
has been used in the treatment of,Treatment_IndicationUse,Điều trị / chỉ định
has been used since,Etiology_AssociatedWith,Liên quan
has been used to mitigate,Treatment_IndicationUse,Điều trị / chỉ định
has been used to treat,Treatment_IndicationUse,Điều trị / chỉ định
has been utilized in,Etiology_AssociatedWith,Liên quan
has beneficial effects in,Etiology_AssociatedWith,Liên quan
has both,Etiology_AssociatedWith,Liên quan
has brand name,Alias_Name,Tên khác
has carriers who are,Etiology_AssociatedWith,Liên quan
has cases documented from,Etiology_AssociatedWith,Liên quan
has cases reported in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has causative mutations mapped to,Genetics_Mutation,Đột biến
has causes including,Etiology_AssociatedWith,Liên quan
has causes that are,Etiology_AssociatedWith,Liên quan
has characteristic feature of,Etiology_AssociatedWith,Liên quan
has characteristic imaging features including,Diagnosis_ImagingFinding,Hình ảnh
has characteristic presence of,Etiology_AssociatedWith,Liên quan
has chemical formula,Etiology_AssociatedWith,Liên quan
has clinical features including,Clinical_SymptomSign,Triệu chứng
has clinical indication for,Treatment_IndicationUse,Điều trị / chỉ định
has clinical indications for,Treatment_IndicationUse,Điều trị / chỉ định
has clinical indications including,Treatment_IndicationUse,Điều trị / chỉ định
has clinical presentation that is,Etiology_AssociatedWith,Liên quan
has clinical signs including,Clinical_SymptomSign,Triệu chứng
has clinical variants including,Etiology_AssociatedWith,Liên quan
has clogp of,Etiology_AssociatedWith,Liên quan
has common adverse effects including,Safety_AdverseEffect,Tác dụng phụ
has common adverse effects of,Safety_AdverseEffect,Tác dụng phụ
has common features including,Etiology_AssociatedWith,Liên quan
has common side effects including,Safety_AdverseEffect,Tác dụng phụ
has comorbidities including,Etiology_AssociatedWith,Liên quan
has complications including,Etiology_AssociatedWith,Liên quan
has complications such as,Etiology_AssociatedWith,Liên quan
has controversial use due to,Etiology_CausedBy,Do nguyên nhân
has cytotoxic effects on,Etiology_AssociatedWith,Liên quan
has demonstrated,Etiology_AssociatedWith,Liên quan
has demonstrated promise in,Etiology_AssociatedWith,Liên quan
has different loci for,Genetics_Mutation,Đột biến
has distinct features seen in,Etiology_AssociatedWith,Liên quan
has diverse applications in,Etiology_AssociatedWith,Liên quan
has documented tumors including,Etiology_AssociatedWith,Liên quan
has dose limiting toxic effects such as,Safety_AdverseEffect,Tác dụng phụ
has downstream targets,Etiology_AssociatedWith,Liên quan
has drug interactions with,DrugInteraction,Tương tác thuốc
has dual action in,Etiology_AssociatedWith,Liên quan
has effect on,Etiology_AssociatedWith,Liên quan
has effects including,Etiology_AssociatedWith,Liên quan
has effects of,Etiology_AssociatedWith,Liên quan
has effects on,Etiology_AssociatedWith,Liên quan
has elevated levels in,Diagnosis_LabFinding,Xét nghiệm
has elevated levels of,Diagnosis_LabFinding,Xét nghiệm
has established efficacy and safety through,Etiology_AssociatedWith,Liên quan
has established safety and efficacy through,Etiology_AssociatedWith,Liên quan
has experimental approval status indicating,Regulatory_Status,Trạng thái phê duyệt
has experimental uses under,Etiology_AssociatedWith,Liên quan
has favorable effects on,Etiology_AssociatedWith,Liên quan
has features including,Etiology_AssociatedWith,Liên quan
has features such as,Etiology_AssociatedWith,Liên quan
has findings such as,Etiology_AssociatedWith,Liên quan
has forms,Etiology_AssociatedWith,Liên quan
has functional characteristics comparable to,Etiology_AssociatedWith,Liên quan
has gained attention due to,Etiology_CausedBy,Do nguyên nhân
has gastrointestinal manifestations like,Clinical_ManifestationPresentation,Biểu hiện
has genotoxicity concerns,Safety_WarningCaution,Cảnh báo
has half life of,PK_DistributionProteinBinding,Phân bố & gắn
has half life ranging between,PK_DistributionProteinBinding,Phân bố & gắn
has half life studied in,PK_DistributionProteinBinding,Phân bố & gắn
has hallmark feature,Clinical_SymptomSign,Triệu chứng
has hallmark feature of,Clinical_SymptomSign,Triệu chứng
has hallmark features including,Clinical_SymptomSign,Triệu chứng
has hallmark features of,Clinical_SymptomSign,Triệu chứng
has hallmark of,Etiology_AssociatedWith,Liên quan
has held,Etiology_AssociatedWith,Liên quan
has high,Etiology_AssociatedWith,Liên quan
has high affinity for,MoA_BindingAffinity,Gắn kết
has high binding affinity for,MoA_BindingAffinity,Gắn kết
has high protein binding mainly to,MoA_BindingAffinity,Gắn kết
has high protein binding with,MoA_BindingAffinity,Gắn kết
has higher affinity for,MoA_BindingAffinity,Gắn kết
has higher affinity than,MoA_BindingAffinity,Gắn kết
has higher incidence among,Epidemiology_PrevalenceIncidence,Tần suất mắc
has higher incidence in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has higher potency than,Etiology_AssociatedWith,Liên quan
has higher prevalence among,Epidemiology_PrevalenceIncidence,Tần suất mắc
has higher rates in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has highest activities in,Etiology_AssociatedWith,Liên quan
has highest concentration in,Diagnosis_LabFinding,Xét nghiệm
has highest risk in,Etiology_AssociatedWith,Liên quan
has homozygous forms occurring at a frequency of,Etiology_AssociatedWith,Liên quan
has illicit and investigational uses,Regulatory_Status,Trạng thái phê duyệt
has immunomodulatory actions due to,Etiology_CausedBy,Do nguyên nhân
has immunomodulatory effects,Etiology_AssociatedWith,Liên quan
has implications for treating,Etiology_AssociatedWith,Liên quan
has improved tolerability compared to,Etiology_AssociatedWith,Liên quan
has increased excretion of,PK_ExcretionClearance,Thải trừ
has increased risk of,Etiology_AssociatedWith,Liên quan
has inheritance patterns of,Etiology_AssociatedWith,Liên quan
has investigational approval status in,Regulatory_Status,Trạng thái phê duyệt
has investigational uses for,Regulatory_Status,Trạng thái phê duyệt
has karyotype,Etiology_AssociatedWith,Liên quan
has led to,Etiology_AssociatedWith,Liên quan
has less effects than,Etiology_AssociatedWith,Liên quan
has less side effects than,Safety_AdverseEffect,Tác dụng phụ
has limited,Etiology_AssociatedWith,Liên quan
has limited cases reported in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has limited understanding since,Etiology_AssociatedWith,Liên quan
has literature since,Etiology_AssociatedWith,Liên quan
has little effect on,Etiology_AssociatedWith,Liên quan
has little or no affinity for,MoA_BindingAffinity,Gắn kết
has little to no affinity for,MoA_BindingAffinity,Gắn kết
has location,Etiology_AssociatedWith,Liên quan
has log p value,Etiology_AssociatedWith,Liên quan
has log p value of,Etiology_AssociatedWith,Liên quan
has low,Etiology_AssociatedWith,Liên quan
has low affinity for,MoA_BindingAffinity,Gắn kết
has low protein binding rate,MoA_BindingAffinity,Gắn kết
has low stability with,Etiology_AssociatedWith,Liên quan
has lower clinical cure rates compared to,Etiology_AssociatedWith,Liên quan
has lower incidence in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has lower levels in,Etiology_AssociatedWith,Liên quan
has major genes,Genetics_GeneEncodes,Gen mã hóa
has management options including,Treatment_ManagementCare,Theo dõi / chăm sóc
has manifestations including,Clinical_ManifestationPresentation,Biểu hiện
has manifestations such as,Clinical_ManifestationPresentation,Biểu hiện
has mapped causative locus to,Etiology_AssociatedWith,Liên quan
has material basis in,Etiology_AssociatedWith,Liên quan
has mean age at diagnosis ranging from,Diagnosis_DiagnosticMethod,Cách chẩn đoán
has milder expression in,Etiology_AssociatedWith,Liên quan
has mim number,Etiology_AssociatedWith,Liên quan
has minimal effects on,Etiology_AssociatedWith,Liên quan
has minimal impact on,Etiology_AssociatedWith,Liên quan
has modest affinity for,MoA_BindingAffinity,Gắn kết
has molar ratio of,Etiology_AssociatedWith,Liên quan
has molecular formula,Etiology_AssociatedWith,Liên quan
has molecular properties including,Etiology_AssociatedWith,Liên quan
has molecular weight of,Etiology_AssociatedWith,Liên quan
has mondo id,Etiology_AssociatedWith,Liên quan
has mutagenic properties,Etiology_AssociatedWith,Liên quan
has mutations in,Genetics_Mutation,Đột biến
has negligible protein binding for,MoA_BindingAffinity,Gắn kết
has no,Etiology_AssociatedWith,Liên quan
has no additional reports since,Etiology_AssociatedWith,Liên quan
has no curative therapy,Treatment_IndicationUse,Điều trị / chỉ định
has no cure,Etiology_AssociatedWith,Liên quan
has no cure but,Etiology_AssociatedWith,Liên quan
has no cure but can be managed with,Treatment_ManagementCare,Theo dõi / chăm sóc
has no cure but has,Etiology_AssociatedWith,Liên quan
has no cure but involves,Etiology_AssociatedWith,Liên quan
has no cure but treatment options include,Treatment_IndicationUse,Điều trị / chỉ định
has no definitive treatment,Treatment_IndicationUse,Điều trị / chỉ định
has no effect on,Etiology_AssociatedWith,Liên quan
has no effective treatment,Treatment_IndicationUse,Điều trị / chỉ định
has no established treatment for,Treatment_IndicationUse,Điều trị / chỉ định
has no further reports since,Etiology_AssociatedWith,Liên quan
has no known predilection for,Etiology_AssociatedWith,Liên quan
has no new literature descriptions since,Etiology_AssociatedWith,Liên quan
has no reported cases since,Etiology_AssociatedWith,Liên quan
has no reported descriptions since,Etiology_AssociatedWith,Liên quan
has no specific cure,Etiology_AssociatedWith,Liên quan
has no treatment available,Treatment_IndicationUse,Điều trị / chỉ định
has normal or high,Etiology_AssociatedWith,Liên quan
has normal secretion of,Etiology_AssociatedWith,Liên quan
has not been described since,Etiology_AssociatedWith,Liên quan
has not been established for,Etiology_AssociatedWith,Liên quan
has not been reported since,Etiology_AssociatedWith,Liên quan
has not received,Etiology_AssociatedWith,Liên quan
has not received scheduling action by,Etiology_AssociatedWith,Liên quan
has off label uses for,Etiology_AssociatedWith,Liên quan
has onset in,Temporal_OnsetAge,Tuổi khởi phát
has peak activity at,Etiology_AssociatedWith,Liên quan
has penetrance of,Genetics_InheritanceCarrier,Di truyền
has perceived safety concerns,Safety_WarningCaution,Cảnh báo
has pharmacodynamic effects for,Etiology_AssociatedWith,Liên quan
has pharmacodynamic effects on,Etiology_AssociatedWith,Liên quan
has pharmacokinetics dependent on,Etiology_AssociatedWith,Liên quan
has pharmacokinetics that are,Etiology_AssociatedWith,Liên quan
has pharmacologic actions similar to,Etiology_AssociatedWith,Liên quan
has pharmacological properties including,Etiology_AssociatedWith,Liên quan
has phenotypic features reminiscent of,Etiology_AssociatedWith,Liên quan
has physical state,Etiology_AssociatedWith,Liên quan
has plasma protein binding averaging,PK_DistributionProteinBinding,Phân bố & gắn
has possible explanations including,Etiology_AssociatedWith,Liên quan
has potency compared to,Etiology_AssociatedWith,Liên quan
has potency of,Etiology_AssociatedWith,Liên quan
has potential,Etiology_AssociatedWith,Liên quan
has potential activity for,Etiology_AssociatedWith,Liên quan
has potential applications in,Etiology_AssociatedWith,Liên quan
has potential as,Etiology_AssociatedWith,Liên quan
has potential benefits but remains,Etiology_AssociatedWith,Liên quan
has potential for,Etiology_AssociatedWith,Liên quan
has potential in treating,Etiology_AssociatedWith,Liên quan
has potential risk factors including,Etiology_AssociatedWith,Liên quan
has potential side effects including,Safety_AdverseEffect,Tác dụng phụ
has potential side effects of,Safety_AdverseEffect,Tác dụng phụ
has potential therapeutic applications for,Etiology_AssociatedWith,Liên quan
has potential therapeutic benefits for,Etiology_AssociatedWith,Liên quan
has potential therapeutic uses for,Etiology_AssociatedWith,Liên quan
has potential to treat,Treatment_IndicationUse,Điều trị / chỉ định
has potential triggers including,Etiology_AssociatedWith,Liên quan
has potential use in,Etiology_AssociatedWith,Liên quan
has potential uses from,Etiology_AssociatedWith,Liên quan
has prevalence in,Epidemiology_PrevalenceIncidence,Tần suất mắc
has prevalence of,Epidemiology_PrevalenceIncidence,Tần suất mắc
has prevalence rates highest among,Epidemiology_PrevalenceIncidence,Tần suất mắc
has primary biological roles,Etiology_AssociatedWith,Liên quan
has primary effects in,Etiology_AssociatedWith,Liên quan
has primary facial feature,Etiology_AssociatedWith,Liên quan
has primary symptom of,Clinical_SymptomSign,Triệu chứng
has primary symptoms including,Clinical_SymptomSign,Triệu chứng
has properties including,Etiology_AssociatedWith,Liên quan
has properties of,Etiology_AssociatedWith,Liên quan
has properties similar to,Etiology_AssociatedWith,Liên quan
has protective effects against,Etiology_AssociatedWith,Liên quan
has protective effects on,Etiology_AssociatedWith,Liên quan
has protein binding of,MoA_BindingAffinity,Gắn kết
has psychoactive properties mediated by,Etiology_AssociatedWith,Liên quan
has rapid progression from,Etiology_AssociatedWith,Liên quan
has rare but serious adverse effects of,Safety_AdverseEffect,Tác dụng phụ
has reported,Etiology_AssociatedWith,Liên quan
has reported cases of,Epidemiology_PrevalenceIncidence,Tần suất mắc
has reports dating back to,Etiology_AssociatedWith,Liên quan
has resting value of,Etiology_AssociatedWith,Liên quan
has risk factors including,Etiology_AssociatedWith,Liên quan
has selectivity for,Etiology_AssociatedWith,Liên quan
has serum binding protein of,Diagnosis_LabFinding,Xét nghiệm
has shown,Etiology_AssociatedWith,Liên quan
has shown efficacy against,Etiology_AssociatedWith,Liên quan
has shown efficacy in,Etiology_AssociatedWith,Liên quan
has shown efficacy in treating,Etiology_AssociatedWith,Liên quan
has shown potential benefits in treating,Etiology_AssociatedWith,Liên quan
has shown promise as,Etiology_AssociatedWith,Liên quan
has shown promise in,Etiology_AssociatedWith,Liên quan
has shown promise in treating,Etiology_AssociatedWith,Liên quan
has shown significant,Etiology_AssociatedWith,Liên quan
has side effects including,Safety_AdverseEffect,Tác dụng phụ
has significant,Etiology_AssociatedWith,Liên quan
has significant clinical variation in,Etiology_AssociatedWith,Liên quan
has significant protein binding mostly to,MoA_BindingAffinity,Gắn kết
has similar activity to,Etiology_AssociatedWith,Liên quan
has similar affinities as,Etiology_AssociatedWith,Liên quan
has slight activity against,Etiology_AssociatedWith,Liên quan
has specific receptors in,Etiology_AssociatedWith,Liên quan
has structure of,Etiology_AssociatedWith,Liên quan
